Bus,busmap
3754,DE1 0
3755,DE1 0
3778,DE1 0
3779,DE1 0
3792,DE1 1
3793,DE1 1
3794,DE1 1
3796,DE1 0
3798,DE1 1
3799,DE1 1
3803,DE1 1
3804,DE1 1
3806,DE1 1
7460,DE1 4
4548,DE1 2
4553,DE1 2
4554,DE1 2
4557,DE1 2
4559,DE1 2
4562,DE1 2
4565,DE1 2
4566,DE1 2
4567,DE1 2
4568,DE1 2
4571,DE1 2
4573,DE1 2
4577,DE1 2
4584,DE1 1
4585,DE1 1
4589,DE1 1
4590,DE1 1
4592,DE1 1
4620,DE1 2
4625,DE1 2
4626,DE1 2
4627,DE1 2
4629,DE1 2
4666,DE1 3
4685,DE1 3
4691,DE1 3
4693,DE1 3
4695,DE1 3
4697,DE1 3
4698,DE1 3
4700,DE1 3
4701,DE1 3
4703,DE1 3
4705,DE1 3
4709,DE1 3
4710,DE1 3
4713,DE1 3
4715,DE1 3
4716,DE1 3
4717,DE1 3
4719,DE1 3
4720,DE1 3
4722,DE1 3
4723,DE1 3
4724,DE1 3
4728,DE1 3
4730,DE1 3
4731,DE1 3
4733,DE1 3
4736,DE1 3
4738,DE1 4
4740,DE1 3
4742,DE1 3
4744,DE1 3
4746,DE1 3
4748,DE1 4
4749,DE1 3
4750,DE1 3
4752,DE1 3
4754,DE1 3
4755,DE1 3
4757,DE1 3
4759,DE1 3
4761,DE1 3
4763,DE1 3
4765,DE1 3
4766,DE1 3
4768,DE1 3
4773,DE1 3
4775,DE1 3
4777,DE1 3
4778,DE1 3
4779,DE1 3
4793,DE1 3
4795,DE1 3
4796,DE1 3
4798,DE1 3
4800,DE1 3
4831,DE1 3
4832,DE1 3
4834,DE1 0
4836,DE1 0
4841,DE1 0
4845,DE1 3
4846,DE1 3
4847,DE1 3
4848,DE1 3
4849,DE1 0
4850,DE1 0
4852,DE1 0
4853,DE1 0
4854,DE1 0
4859,DE1 0
4861,DE1 0
4863,DE1 4
4864,DE1 4
4865,DE1 4
4867,DE1 4
4869,DE1 4
4870,DE1 4
4871,DE1 4
4876,DE1 4
4877,DE1 4
4883,DE1 4
4884,DE1 4
4885,DE1 4
4886,DE1 4
4887,DE1 4
4888,DE1 4
4890,DE1 4
4891,DE1 4
4892,DE1 4
4893,DE1 4
4896,DE1 4
4898,DE1 4
4900,DE1 4
4901,DE1 3
4902,DE1 0
4905,DE1 0
4907,DE1 0
4909,DE1 0
4911,DE1 0
4913,DE1 0
4915,DE1 0
4917,DE1 0
4918,DE1 0
4920,DE1 0
4923,DE1 0
4924,DE1 0
4925,DE1 0
4930,DE1 0
4931,DE1 0
4932,DE1 0
4937,DE1 0
4938,DE1 0
4941,DE1 0
4942,DE1 1
4944,DE1 1
4945,DE1 1
4946,DE1 1
4947,DE1 1
4948,DE1 1
4949,DE1 1
5622,DE1 2
8297,DE1 2
5678,DE1 2
5679,DE1 4
5685,DE1 2
5687,DE1 2
5689,DE1 2
5691,DE1 2
5693,DE1 2
5695,DE1 2
5696,DE1 2
5699,DE1 2
5701,DE1 2
5703,DE1 2
5704,DE1 2
5706,DE1 2
5709,DE1 2
5711,DE1 2
5715,DE1 2
5722,DE1 2
5769,DE1 3
5780,DE1 4
5783,DE1 4
5784,DE1 3
5786,DE1 3
5787,DE1 3
5789,DE1 3
5792,DE1 4
5793,DE1 4
5796,DE1 4
5827,DE1 4
5830,DE1 4
5833,DE1 4
5853,DE1 4
5856,DE1 4
5858,DE1 4
5860,DE1 4
5861,DE1 4
5863,DE1 4
5864,DE1 4
5865,DE1 4
5867,DE1 4
5870,DE1 4
5871,DE1 4
5873,DE1 4
5875,DE1 4
5876,DE1 4
5878,DE1 4
5879,DE1 4
5880,DE1 4
5882,DE1 4
5883,DE1 4
5885,DE1 4
5886,DE1 4
5887,DE1 4
8581,DE1 3
7023,DE1 3
7052,DE1 4
7074,DE1 4
8847,DE1 0
7476,DE1 2
8351,DE1 4
7889,DE1 0
7633,DE1 4
7895,DE1 0
7897,DE1 0
8175,DE1 0
8225,DE1 2
8115,DE1 4
8041,DE1 2
8588,DE1 2
8725,DE1 0
7330,DE1 3
8116,DE1 4
7635,DE1 4
8707,DE1 3
7914,DE1 1
8745,DE1 2
7631,DE1 4
7630,DE1 4
7319,DE1 1
8599,DE1 0
8616,DE1 0
8310,DE1 3
8309,DE1 3
8168,DE1 3
7888,DE1 0
7373,DE1 2
7901,DE1 0
8028,DE1 0
8039,DE1 2
8042,DE1 2
7318,DE1 4
8181,DE1 3
7812,DE1 4
7328,DE1 3
7903,DE1 3
8752,DE1 2
8151,DE1 0
7713,DE1 0
7947,DE1 0
8596,DE1 0
8121,DE1 3
7810,DE1 0
7474,DE1 2
7374,DE1 4
8291,DE1 3
8414,DE1 4
8480,DE1 4
8806,DE1 2
8832,DE1 3
8357,DE1 3
7420,DE1 0
8117,DE1 4
8685,DE1 0
8653,DE1 0
7363,DE1 0
7362,DE1 0
8101,DE1 4
8496,DE1 4
8470,DE1 1
8128,DE1 1
7424,DE1 3
7756,DE1 1
7703,DE1 0
7327,DE1 3
7375,DE1 4
7900,DE1 1
7949,DE1 0
7321,DE1 4
7320,DE1 4
8038,DE1 2
8490,DE1 1
7898,DE1 1
8443,DE1 1
7419,DE1 4
8102,DE1 1
7315,DE1 0
8099,DE1 2
7871,DE1 3
8312,DE1 3
7902,DE1 2
7459,DE1 0
7761,DE1 3
7329,DE1 3
8848,DE1 4
8842,DE1 3
7322,DE1 1
7468,DE1 0
7677,DE1 0
8791,DE1 0
8593,DE1 0
7636,DE1 4
7326,DE1 0
8728,DE1 3
8863,DE1 4
8040,DE1 2
8391,DE1 0
7623,DE1 1
8834,DE1 2
8100,DE1 2
8737,DE1 2
8331,DE1 3
7317,DE1 3
7316,DE1 3
8610,DE1 4
7372,DE1 0
5803,DK1 0
5805,DK1 0
5815,DK1 0
5822,DK1 0
5836,DK1 0
5842,DK1 0
5847,DK1 0
8567,DK1 0
6385,DK1 0
6398,DK1 0
6402,DK1 0
6410,DK1 0
6416,DK1 0
6425,DK1 0
6434,DK1 0
7333,DK1 0
7332,DK1 0
5624,DK2 0
5642,DK2 0
5646,DK2 0
5657,DK2 0
5676,DK2 0
6324,DK2 0
7429,DK2 0
7613,DK2 0
6272,EE6 0
6273,EE6 0
6287,EE6 0
6291,EE6 0
6558,EE6 0
6560,EE6 0
6564,EE6 0
6565,EE6 0
6566,EE6 0
6574,EE6 0
6577,EE6 0
6578,EE6 0
6579,EE6 0
7698,EE6 0
7928,ES1 0
927,ES1 0
929,ES1 0
1004,ES1 0
1005,ES1 0
1006,ES1 0
1007,ES1 0
8172,ES1 0
7397,ES1 0
7927,ES1 0
1407,ES1 0
1408,ES1 0
1409,ES1 0
1452,ES1 0
1453,ES1 0
1454,ES1 0
1455,ES1 0
1456,ES1 0
1458,ES1 0
1460,ES1 0
1461,ES1 0
1463,ES1 0
1464,ES1 0
1465,ES1 0
1467,ES1 0
1469,ES1 0
1473,ES1 0
1475,ES1 0
1477,ES1 0
1479,ES1 0
1480,ES1 0
1481,ES1 0
1482,ES1 0
1483,ES1 0
1484,ES1 0
1485,ES1 0
1486,ES1 0
1488,ES1 0
1489,ES1 0
1490,ES1 0
1491,ES1 0
1492,ES1 0
1493,ES1 0
1494,ES1 0
1495,ES1 0
1496,ES1 0
1497,ES1 0
1498,ES1 0
1499,ES1 0
1500,ES1 0
1501,ES1 0
1502,ES1 0
1503,ES1 0
1507,ES1 0
1509,ES1 0
1513,ES1 0
1517,ES1 0
1519,ES1 0
1526,ES1 0
1527,ES1 0
1528,ES1 0
1532,ES1 0
1535,ES1 0
1539,ES1 0
1541,ES1 0
1546,ES1 0
1548,ES1 0
1549,ES1 0
1553,ES1 0
1555,ES1 0
8328,ES1 0
1556,ES1 0
1557,ES1 0
1558,ES1 0
1560,ES1 0
1563,ES1 0
1566,ES1 0
1570,ES1 0
1571,ES1 0
1572,ES1 0
1574,ES1 0
1578,ES1 0
1579,ES1 0
1580,ES1 0
1582,ES1 0
1584,ES1 0
1587,ES1 0
1588,ES1 0
1589,ES1 0
1592,ES1 0
1594,ES1 0
1596,ES1 0
1597,ES1 0
1601,ES1 0
1602,ES1 0
1603,ES1 0
1604,ES1 0
1606,ES1 0
1607,ES1 0
1609,ES1 0
1612,ES1 0
1616,ES1 0
1619,ES1 0
1621,ES1 0
1623,ES1 0
1624,ES1 0
1626,ES1 0
1627,ES1 0
1629,ES1 0
1631,ES1 0
1635,ES1 0
1636,ES1 0
1638,ES1 0
1641,ES1 0
1642,ES1 0
1644,ES1 0
1646,ES1 0
1648,ES1 0
1650,ES1 0
1652,ES1 0
1653,ES1 0
1657,ES1 0
1658,ES1 0
1659,ES1 0
1660,ES1 0
1663,ES1 0
1665,ES1 0
1666,ES1 0
1667,ES1 0
1671,ES1 0
1672,ES1 0
1676,ES1 0
1678,ES1 0
1679,ES1 0
1680,ES1 0
1684,ES1 0
1689,ES1 0
1691,ES1 0
1770,ES1 0
1758,ES1 0
1760,ES1 0
1767,ES1 0
1769,ES1 0
1771,ES1 0
1773,ES1 0
1774,ES1 0
1775,ES1 0
1777,ES1 0
1778,ES1 0
1789,ES1 0
1791,ES1 0
1793,ES1 0
1795,ES1 0
1797,ES1 0
1798,ES1 0
1799,ES1 0
1800,ES1 0
1803,ES1 0
1804,ES1 0
1805,ES1 0
1808,ES1 0
1809,ES1 0
1811,ES1 0
1812,ES1 0
1815,ES1 0
1816,ES1 0
1817,ES1 0
7818,ES1 0
8184,ES1 0
7820,ES1 0
2434,ES1 0
2436,ES1 0
2437,ES1 0
2438,ES1 0
2443,ES1 0
2444,ES1 0
2445,ES1 0
2447,ES1 0
2450,ES1 0
2453,ES1 0
2456,ES1 0
2458,ES1 0
2461,ES1 0
2464,ES1 0
2466,ES1 0
2467,ES1 0
2474,ES1 0
2482,ES1 0
2486,ES1 0
2489,ES1 0
2490,ES1 0
2492,ES1 0
2493,ES1 0
2496,ES1 0
2497,ES1 0
2499,ES1 0
2585,ES1 0
2587,ES1 0
2589,ES1 0
2590,ES1 0
2594,ES1 0
2595,ES1 0
2597,ES1 0
2598,ES1 0
2600,ES1 0
2602,ES1 0
2605,ES1 0
2609,ES1 0
2611,ES1 0
