planning_horizon,technology,parameter,value,unit,source,further description
all,decentral water tank storage,standing losses,1.3793,%/hour,EEE tes_tau decentral=3,missing in v0.9.0
all,central water tank storage,standing losses,0.0231,%/hour,EEE tes_tau central=180,missing in v0.9.0
all,decentral water tank storage,energy to power ratio,0.15,h,technology-data v0.15.0,missing in v0.9.0
all,central water tank storage,energy to power ratio,60.3448,h,technology-data v0.15.0,missing in v0.9.0
all,decentral water tank charger,efficiency,0.8367,per unit,v0.9.0 water tank charger,v0.9.0 has only generic name
all,decentral water tank discharger,efficiency,0.8367,per unit,v0.9.0 water tank discharger,v0.9.0 has only generic name
all,central water tank charger,efficiency,0.8367,per unit,v0.9.0 water tank charger,v0.9.0 has only generic name
all,central water tank discharger,efficiency,0.8367,per unit,v0.9.0 water tank discharger,v0.9.0 has only generic name
all,central water pit storage,standing losses,0.0231,%/hour,EEE tes_tau central=180,tech missing in v0.9.0
all,central water pit storage,energy to power ratio,150.0,h,technology-data v0.15.0,tech missing in v0.9.0
all,central water pit charger,efficiency,1.0,per unit,technology-data v0.15.0,tech missing in v0.9.0
all,central water pit discharger,efficiency,1.0,per unit,technology-data v0.15.0,tech missing in v0.9.0
all,coal,fuel,24.57,EUR/MWh,https://businessanalytiq.com/procurementanalytics/index/subbituminous-coal-price-index/,
all,lignite,fuel,22.11,EUR/MWh,https://businessanalytiq.com/procurementanalytics/index/lignite-coal-price-index/,
all,uranium,fuel,1.75,EUR/MWh,https://markets.businessinsider.com/commodities/uranium-price,
all,central solar thermal,lifetime,30,years,,
all,decentral solar thermal,lifetime,30,years,,
2020,gas,fuel,38.84,EUR/MWh,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52022SC0230 (Annex),
2020,central solar thermal,investment,280650,EUR/MW,,
2020,decentral solar thermal,investment,428920,EUR/MW,,
2020,decentral air-sourced heat pump,investment,1685000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2020,decentral ground-sourced heat pump,investment,2774000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2025,gas,fuel,38.84,EUR/MWh,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52022SC0230 (Annex),
2025,central solar thermal,investment,280650,EUR/MW,,
2025,decentral solar thermal,investment,428920,EUR/MW,,
2025,decentral air-sourced heat pump,investment,1604000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2025,decentral ground-sourced heat pump,investment,2682000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2035,gas,fuel,38.84,EUR/MWh,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52022SC0230 (Annex),
2035,central solar thermal,investment,196455,EUR/MW,,
2035,decentral solar thermal,investment,300245,EUR/MW,,
2035,decentral air-sourced heat pump,investment,1483000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2035,decentral ground-sourced heat pump,investment,2497000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2045,gas,fuel,42.08,EUR/MWh,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52022SC0230 (Annex),
2045,central solar thermal,investment,112260,EUR/MW,,
2045,decentral solar thermal,investment,171570,EUR/MW,,
2045,decentral air-sourced heat pump,investment,1402000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
2045,decentral ground-sourced heat pump,investment,2312000,EUR/MW,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA,
