Generator,p_nom_opt
LT6 0 retrofitting moderate residential rural heat,415.32056335761587
LU1 0 retrofitting ambitious residential rural heat,1.4692659742450428e-05
LU1 0 retrofitting moderate residential rural heat,7.008427796796602e-05
LV6 0 retrofitting ambitious residential rural heat,239.2541779675145
LV6 0 retrofitting moderate residential rural heat,501.0455859663022
ME1 0 retrofitting ambitious residential rural heat,42.35486337190442
ME1 0 retrofitting moderate residential rural heat,97.69860572483257
MK1 0 retrofitting ambitious residential rural heat,2.0240506192543716e-06
MK1 0 retrofitting moderate residential rural heat,2.6721899665711812e-06
NL1 0 retrofitting ambitious residential rural heat,5.796075744813233e-06
NL1 0 retrofitting moderate residential rural heat,6.5575520337882e-06
NO2 0 retrofitting ambitious residential rural heat,0.0
NO2 0 retrofitting moderate residential rural heat,0.0003243845074628009
PL1 0 retrofitting ambitious residential rural heat,0.0006351852342963557
PL1 0 retrofitting moderate residential rural heat,0.004316277210539891
PT1 0 retrofitting ambitious residential rural heat,9.781695510166116e-07
PT1 0 retrofitting moderate residential rural heat,8.60345336395223e-07
RO1 0 retrofitting ambitious residential rural heat,1538.075775234702
RO1 0 retrofitting moderate residential rural heat,4834.941703199043
RS1 0 retrofitting ambitious residential rural heat,438.1190517478982
RS1 0 retrofitting moderate residential rural heat,1131.975076198376
SE2 0 retrofitting ambitious residential rural heat,0.0
SE2 0 retrofitting moderate residential rural heat,2.9968377296003365e-06
SI1 0 retrofitting ambitious residential rural heat,124.29106625332606
SI1 0 retrofitting moderate residential rural heat,561.3479424342925
SK1 0 retrofitting ambitious residential rural heat,332.0495194371707
SK1 0 retrofitting moderate residential rural heat,972.7335453652348
AL1 0 retrofitting ambitious services rural heat,3.3239272327887306e-06
AL1 0 retrofitting moderate services rural heat,5.2850593363348765e-06
AT1 0 retrofitting ambitious services rural heat,0.0
AT1 0 retrofitting moderate services rural heat,7.417610651989022e-06
BA1 0 retrofitting ambitious services rural heat,2.131960963595938e-06
BA1 0 retrofitting moderate services rural heat,3.2747642860255404e-06
BE1 0 retrofitting ambitious services rural heat,57.403706566644985
BE1 0 retrofitting moderate services rural heat,305.0644891266445
