Generator,p_nom_opt
LU1 0 retrofitting moderate urban central heat,1.6277029951769902e-05
LV6 0 retrofitting ambitious urban central heat,1.2548057027878248e-05
LV6 0 retrofitting moderate urban central heat,0.00011642327168534148
MK1 0 retrofitting ambitious urban central heat,2.0900936614497723e-06
MK1 0 retrofitting moderate urban central heat,2.559479916878403e-06
NL1 0 retrofitting ambitious urban central heat,6.13350430177853e-06
NL1 0 retrofitting moderate urban central heat,8.251892638795172e-06
NO2 0 retrofitting ambitious urban central heat,0.0
NO2 0 retrofitting moderate urban central heat,2.04527908732453e-06
PL1 0 retrofitting ambitious urban central heat,7.72276594448254e-06
PL1 0 retrofitting moderate urban central heat,0.0009264087957720435
PT1 0 retrofitting ambitious urban central heat,1.3677247951424086e-06
PT1 0 retrofitting moderate urban central heat,1.7708075375762862e-06
RO1 0 retrofitting ambitious urban central heat,1.628911187905656e-05
RO1 0 retrofitting moderate urban central heat,0.00022815275555043775
RS1 0 retrofitting ambitious urban central heat,2.0407252442996824e-05
RS1 0 retrofitting moderate urban central heat,4.575510647750009e-05
SE2 0 retrofitting ambitious urban central heat,0.0
SE2 0 retrofitting moderate urban central heat,2.8155703663144483e-06
SI1 0 retrofitting ambitious urban central heat,4.451701759715552e-06
SI1 0 retrofitting moderate urban central heat,5.3416843627474065e-06
SK1 0 retrofitting ambitious urban central heat,1.2923793553648214e-05
SK1 0 retrofitting moderate urban central heat,1.4477372422781291e-05
