,,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE
,,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34
AL,residential,72.98061488788979,76.76145074316808,79.64719145673143,82.74216545544802,86.54590927931177,89.73595588723516,93.02709369063282,95.95117766787722,99.20354036750696,103.11582686236116,106.44064578267825,109.39781183878002,113.72618580265089,122.64738249714554,127.05688828049404,130.17123431125574,134.12820703726854,137.72214890667985,140.85894058506616,145.78621549250312,148.61430990636845,151.94864704555508,154.72104594693613,157.49344484831713,160.2658437496981,163.0382426510791,165.81064155246005,168.58304045384108,171.35543935522205,174.12783825660304,176.900237157984,179.672636059365,182.44503496074597,185.217433862127,0.716177143544098,0.5890348662619452,0.5174259864463999,0.4680081392363243,0.4247954457041758,0.39762200841266315,0.3733129848715621,0.3565214236921724,0.33882464995591094,0.31495772181614806,0.2996542753662104,0.2904840510934929,0.2754953564126917,0.23768649597230004,0.22295256292394675,0.2156567592632657,0.20370308981203544,0.1594780349231938,0.15324556591957636,0.14220382043288363,0.139253390881546,0.13572937882798883,0.13336107288411952,0.1311764350435293,0.1291550139321177,0.1272792763569036,0.1255341056245063,0.12390639983243183,0.12238474764375862,0.12095916465811009,0.11962087757103386,0.11836214631684544,0.11717611662329284,0.11605669708322015
AL,services,52.974727742514844,55.11601265093518,57.25729755935552,59.39858246777587,61.53986737619619,63.68115228461653,66.68889824598983,70.19645587337436,72.38339272660988,75.99863822236516,79.18257748310809,86.96288452497838,92.8335394433848,96.76309041416614,99.19489277600523,101.62669513784435,105.46859683565279,107.92474998657352,110.58873567960627,113.11246201544868,115.16686683969031,117.33584971629084,119.39025454053245,121.4446593647741,123.49906418901571,125.55346901325734,127.60787383749899,129.6622786617406,131.71668348598223,133.77108831022386,135.82549313446552,137.87989795870715,139.93430278294878,141.9887076071904,0.6925861393124819,0.5820683499887365,0.5179415009071098,0.4753812322121642,0.4448163252617962,0.4216788639092944,0.39258050472367967,0.36074216317462177,0.34817650736893935,0.32703903416569546,0.3103544405641017,0.26783448775824364,0.23545891261152985,0.21952255883969374,0.21165032499422967,0.20431932220911334,0.18814275274062087,0.14811266065237694,0.13997670755690886,0.13394702378690718,0.13150139518930207,0.12901394705418825,0.1269543336613511,0.12505419867898923,0.12329578128011935,0.12166385736127906,0.12014530287308899,0.11872874429041029,0.11740427659197146,0.11616323401612196,0.11499800242309045,0.11390186471634235,0.11286887272493527,0.11189374041177275
AL,tot,67.12252664045586,70.4232721071868,73.09102259761474,75.90673905523987,79.22368461998957,82.10663469469884,85.31479020357898,88.40972589600781,91.35011249660626,95.17541997507479,98.4589867643538,102.82845637486102,107.60843830134577,115.06799018414313,118.8983883734986,121.81287318259986,125.73615101505229,128.99692761808882,131.99527308981658,136.21874518475744,138.8202891907752,141.81338937005373,144.37554652437035,146.93770367868694,149.49986083300348,152.06201798732005,154.6241751416366,157.1863322959532,159.74848945026974,162.3106466045863,164.87280375890288,167.43496091321947,169.997118067536,172.5592752218526,0.7092692676958459,0.5869949433727932,0.5175769384727571,0.4701671151915091,0.43065792400306496,0.40466629399874937,0.3789548657230686,0.3577573331111322,0.3415630441898105,0.318495350183947,0.30278747868460765,0.28385184629199733,0.2637719562357165,0.2323677642474613,0.21964306174038717,0.21233695113477158,0.19914673962062504,0.15615004626866655,0.14936020244299703,0.13978607994270853,0.13698346530769356,0.1337629780548224,0.13148506291402678,0.12938373269374043,0.1274393238610784,0.12563497936654042,0.12395616599921377,0.12239028795698373,0.1209263749795949,0.11955482878811424,0.11826721550262703,0.11705609460145358,0.11591487713531376,0.11483770752407828
AT,residential,145.29906784973042,151.10242417566045,156.90578050159047,162.7091368275205,168.51249315345055,174.31584947938055,180.11920580531063,185.92256213124065,191.72591845717065,197.5292747831007,205.13063389779526,210.96862865226458,229.36948745434827,236.7551999887324,247.11456029933348,258.7975508123552,271.434180979761,277.81226890169404,284.91799111206257,300.27497272720234,307.2327289732604,313.5264728706753,319.3298291966054,325.1331855225354,330.9365418484654,336.7398981743955,342.54325450032553,348.3466108262556,354.1499671521856,359.95332347811564,365.75667980404563,371.56003612997574,377.36339245590574,383.16674878183585,0.8791530938690246,0.7701327743831939,0.701705823562259,0.654066915378523,0.6186916059233476,0.59123583933155,0.5692275689756124,0.5511454251006033,0.5359965529537289,0.5231027522747506,0.5065049496064884,0.4966763776024617,0.4556228050457445,0.440652108594399,0.4205424872720974,0.4058702565870666,0.38774349266499997,0.35357031402475697,0.34519713242859085,0.320730645612162,0.31391327133026997,0.30991944639764857,0.30651052340484025,0.303343938091229,0.3003945081919679,0.29764044978887855,0.29506281913836446,0.29264506160100756,0.2903726443323826,0.2882327550543685,0.28621405338247696,0.2843064642697252,0.28250100544041984,0.2807896424373882
AT,services,95.04933367341455,98.99682847656595,102.94432327971735,106.89181808286875,110.83931288602017,114.78680768917157,118.73430249232298,122.68179729547435,136.14863039767567,144.8858040740507,149.11437627672814,153.34294847940558,157.57152068208296,166.89943950672128,171.22088287768975,181.37070420979407,185.7945655863512,190.21842696290832,194.6422883394655,213.39737407052036,220.46948816079342,224.4169829639448,229.68301469911424,233.63050950226565,237.57800430541704,241.52549910856845,245.47299391171984,249.42048871487125,253.36798351802264,257.31547832117406,261.26297312432547,265.2104679274769,269.15796273062824,273.10545753377966,0.9616499716161467,0.8841542093594671,0.8300968634409939,0.7899601920440185,0.7588578730236373,0.7339876714704621,0.7136144124205861,0.6966007613788299,0.62671084894477,0.5894636152182777,0.5770027628158436,0.5658636826599035,0.5558153987880454,0.5254867120014631,0.5164230577356499,0.4862286918495774,0.4775349438219205,0.4402831118572809,0.4323624504762213,0.3904271937453932,0.3837887286848713,0.38019088677711566,0.3768550161028506,0.3737534158891941,0.37086216944877887,0.3681605176064216,0.3656303529407756,0.3632558084482309,0.361022920639675,0.3589193517845015,0.35693415950819185,0.35505760456767327,0.3532809896093925,0.3515965232266402
AT,tot,131.6787969720243,136.979119061732,142.27944115143973,147.57976324114745,152.8800853308552,158.1804074205629,163.48072951027063,168.78105159997835,176.66160557220005,183.26017778680654,189.94733761055028,195.34909580633098,209.90853364162717,217.8206842996604,226.54345755954535,237.81088011210434,248.22142615347602,254.06981784236973,260.44861738117436,276.726660555904,283.7154136786765,289.3732030037088,295.0309166392768,300.3312387289846,305.63156081869226,310.93188290840004,316.23220499810776,321.53252708781554,326.8328491775232,332.133171267231,337.43349335693864,342.7338154466464,348.0341375363541,353.3344596260619,0.9015140046260492,0.8010384668350671,0.7365064204227885,0.6909010055281082,0.656683896969589,0.6299289519199391,0.6083638539954921,0.5905713268131549,0.5605848080784843,0.5410899703921188,0.5256134947149701,0.5154297073787812,0.4827801679468462,0.463646663633291,0.4465310693617135,0.42765153908586795,0.4120816092203708,0.37707395666888877,0.36882343140132656,0.33962200653926355,0.33285312588818416,0.32896663278825905,0.32557751074331864,0.3224285397450647,0.3194948805654516,0.31675502704453007,0.3141902621251881,0.3117842175527939,0.3095225148075911,0.30739247023832206,0.30538285134173776,0.3034836740910428,0.30168603343914585,0.29998196080809136
BA,residential,78.30929933045637,81.43909755255576,84.56889577465516,87.69869399675454,90.82849221885394,93.95829044095333,97.08808866305274,100.21788688515211,103.34768510725152,106.4774833293509,109.6072815514503,116.42279027322515,121.67091574124183,129.26036889343266,134.8908374712692,138.24894686117918,144.9606490484423,148.37667111782875,151.79269318721524,155.57116058722772,163.28406568858452,166.41386391068392,173.68790301591832,176.81770123801772,179.9474994601171,183.07729768221648,186.20709590431588,189.33689412641527,192.46669234851467,195.59649057061407,198.72628879271343,201.85608701481289,204.98588523691222,208.11568345901165,0.8405936130859955,0.7588249518098075,0.7046476660273449,0.6649950507052576,0.6342614325055789,0.6095237039152537,0.5890669285866981,0.5718014952857077,0.5569939175882516,0.5441282621472419,0.5328288467701101,0.5047010781681353,0.48337186278621624,0.4459213606936512,0.43143730774130745,0.4229513770961022,0.39468721784254446,0.3230498246419509,0.3151569233902354,0.3070487595998443,0.2875593365227524,0.2835470862319982,0.2787721773897105,0.27528326238858003,0.27201729882040127,0.2689533410157199,0.2660730158073104,0.2633601353308833,0.2608003783698985,0.25838102637505334,0.25609074343007904,0.25391939179304196,0.2518578764289488,0.24989801331556943
BA,services,62.93675488448374,68.0509217522346,70.56220206486195,73.07348237748931,75.58476269011666,78.09604300274403,80.60732331537139,83.11860362799872,85.62988394062609,88.14116425325345,90.65244456588081,97.08479503952935,99.67018680795479,102.25557857638029,104.84097034480573,107.42636211323119,113.70182028403093,116.35093524299292,120.23526576581375,122.77258054045988,125.00091808590301,127.22925563134615,129.4575931767893,131.68593072223243,133.91426826767557,136.14260581311873,138.37094335856187,140.599280904005,142.82761844944812,145.0559559948913,147.28429354033443,149.51263108577757,151.74096863122074,153.96930617666388,0.7151524645931553,0.5809184502514289,0.5234882787204712,0.48334121476713676,0.45323147048474477,0.4295438233556835,0.4102459178470154,0.3940968705017106,0.38029150169447207,0.36828228933513346,0.3576827855123281,0.3103577556682418,0.30077694966932234,0.2919576258034208,0.2837757899403997,0.27613367809204026,0.2418045191449549,0.18959762385193327,0.17856271167451165,0.17238058514255256,0.16961407427653802,0.1670675520427161,0.1647157303048733,0.16253706326929374,0.16051307809492935,0.15862784459630336,0.15686755136394295,0.15522016413554315,0.15367514834009788,0.15222324214942587,0.1508562696057024,0.14956698578982447,0.1483489477885914,0.14719640657311128
BA,tot,68.94903712952059,73.28710707865211,76.04029296900771,78.7934788593633,81.5466647497189,84.2998506400745,87.05303653043009,89.80622242078567,92.55940831114128,95.31259420149686,98.06578009185247,104.64798575312759,108.27478654798833,112.81729280168494,116.5936299793326,119.48123563644815,125.92731111552136,128.87636744201706,132.577540088165,135.6002761227136,139.97365662145677,142.55456013539703,146.75629785595788,149.33720136989817,151.9181048838384,154.49900839777868,157.07991191171894,159.6608154256592,162.24171893959942,164.8226224535397,167.40352596747994,169.98442948142022,172.56533299536048,175.14623650930076,0.7642131514905752,0.6504986101498305,0.5943406591871427,0.5543869766702503,0.5240332320475615,0.4999348925866232,0.48018374705208267,0.46359807534159436,0.4494007374144974,0.43705656570266427,0.4261833228234547,0.3863664418954393,0.3721907717613676,0.35217364488298214,0.34152697907305996,0.33355484529579116,0.30159773933588085,0.2417914750514411,0.2319854197212855,0.2250500099802358,0.21574308099896833,0.21262330488360992,0.20932380115158372,0.20663268930847323,0.2041229599118629,0.20177672119435486,0.19957837761924604,0.19751427042884934,0.1955723840753567,0.19374210478894194,0.19201402073556514,0.1903797555980386,0.18883182920450736,0.18736354018749524
BE,residential,96.0076331120578,102.77064746453382,106.70941188309781,116.52089015253102,120.59042741607904,130.58945062488297,134.78539527977003,144.75176294984425,149.06569347315997,153.46533303626856,157.7809471744497,162.38022227695322,166.7011978410094,171.0221734050655,175.34314896912164,186.54631493264074,190.98822641051274,201.09742462028507,205.63554223419732,209.93154990575124,213.662634378469,217.39371885118675,221.12480332390447,224.85588779662226,228.58697226934,232.3180567420578,236.04914121477555,239.7802256874933,243.51131016021105,247.2423946329288,250.9734791056466,254.70456357836434,258.4356480510821,262.1667325237999,0.7871759617289137,0.6948231976469319,0.6465757616900681,0.5708852499976987,0.5454249239339397,0.48986475066952256,0.47292843825375863,0.41666198024193346,0.40355686869676416,0.39171883456712386,0.38134972344937473,0.3710294163191272,0.3624048185213608,0.35444132895125174,0.34703354275971604,0.3071165694786505,0.2992141810407327,0.21891299080229568,0.2104449271219091,0.2038786093168237,0.20130439893949237,0.19892731116327209,0.1967253194430114,0.1946795887577048,0.19277391354596793,0.19099427113463419,0.18932846373914577,0.18776582908899098,0.18629700472867175,0.184913734670649,0.18360870973857482,0.18237543491449848,0.1812081184845068,0.18010157889774148
BE,services,94.83374886398778,103.07682228776036,121.37632144968012,126.74217203281034,131.14177296154477,139.41909490902728,149.5251307741152,154.1247861102068,158.72444144629844,163.32409678239006,167.92375211848167,172.5234074545733,177.1230627906649,182.68495541812737,193.99435823833116,198.73123936463287,203.4681204909346,208.20500161723635,212.9418827435381,217.44364547855713,221.39679863391663,225.3499517892761,229.30310494463558,233.2562580999951,237.2094112553546,241.16256441071408,245.11571756607358,249.0688707214331,253.02202387679253,256.97517703215203,260.9283301875115,264.88148334287104,268.8346364982305,272.78778965359004,0.7726389836785945,0.6389246598543732,0.4989320799396134,0.45168017187565473,0.4212669414748255,0.38040761170779863,0.333177719979081,0.31730877970494453,0.30386500110639525,0.2922414995930222,0.2820207659390634,0.2729049623558527,0.2646757212675476,0.2513686149936927,0.2185176021474308,0.21108950874675686,0.2040872645019015,0.15451514010609016,0.14826356038611,0.14330893233447894,0.14095517137381533,0.13879816548457632,0.13681428035387258,0.1349835179250313,0.1332888431312025,0.13171565490707457,0.13025136663457942,0.12888507048096165,0.12760726668435737,0.12640964358078377,0.12528489761139647,0.12422658508120295,0.123228999321222,0.12228706831652447
BE,tot,95.68196304033219,102.85558938006315,110.77844466754394,119.35657485360014,123.51768150117559,133.0390540607043,138.87463212194757,147.35211569325966,151.74531469677137,156.20044452754541,160.59486006156143,165.19424065206354,169.5925301944753,174.25777270794276,180.51754386406907,189.92677192425825,194.45051667207906,203.06927586047166,207.6625363280705,212.01562651554264,215.8083193827191,219.60101224989552,223.39370511707196,227.18639798424843,230.9790908514249,234.77178371860134,238.56447658577778,242.35716945295425,246.1498623201307,249.94255518730714,253.73524805448358,257.52794092166005,261.3206337888365,265.113326656013,0.7831429757747155,0.6793152965551601,0.6056150549555191,0.5378142496789804,0.5109798420451213,0.4594981158372119,0.4341574721052257,0.38909847557931754,0.37589940781678977,0.3641208913547918,0.35379294451653154,0.3438068021535531,0.33529188795375575,0.3258459216930835,0.3113794348986573,0.2804758339823094,0.27282317206078366,0.20104712993084375,0.19319398419620099,0.18707479660729306,0.1845617453923375,0.1822457148149309,0.18010423228778838,0.17811814012954857,0.17627100264957463,0.17454863671168014,0.172938736657437,0.1714305720901331,0.17001474246143958,0.16868297633753168,0.16742796610052252,0.16624323097096189,0.16512300282890602,0.16406213051199017
BG,residential,58.51037533285923,60.86120935974553,63.145512832653964,65.4298163055624,68.84836542928565,71.15737596630238,73.46638650331913,75.77539704033586,78.0844075773526,80.39341811436934,82.70242865138609,85.01143918840283,88.4853598572337,93.44108264884501,98.92942784611388,101.36348289679007,105.78464911844051,109.34970352375902,111.83669067044642,114.23540946858868,116.55951185443367,120.0774531969362,122.2702125151398,124.46297183334343,126.65573115154706,128.84849046975066,131.04124978795426,133.23400910615788,135.42676842436148,137.61952774256505,139.81228706076865,142.00504637897228,144.19780569717588,146.3905650153795,0.7510529161425871,0.6375271584417375,0.5676101392965782,0.5193155229743643,0.4732259361731927,0.44558527962408334,0.42349892567210223,0.4053854417513875,0.39021777793255086,0.37729812841161936,0.3661348825024647,0.35637121961791124,0.3357985897784271,0.30168611250876115,0.2724156467780527,0.2643040606406504,0.24124007093932406,0.17402730251910153,0.1664720077674096,0.16037820639299227,0.1566992247418166,0.15085959387939316,0.1481007436129498,0.1455517937434666,0.14318984937882076,0.14099521553522024,0.13895085792370673,0.13704196916976,0.13525561716625395,0.13358045796874574,0.1320064998225686,0.13052490800534794,0.12912784248151588,0.12780832211051035
BG,services,38.649510396296606,40.25779135704343,41.86607231779024,43.47435327853706,45.08263423928387,46.69091520003069,48.29919616077751,49.90747712152432,51.515758082271134,56.492325468247,60.45177169899005,68.79968589817176,73.67242458503954,75.5723805554816,77.47233652592364,79.3722924963657,82.78118060766536,84.70719409573276,86.63320758380017,88.46390131367139,90.07218227441821,91.95066512773973,93.55894608848654,95.16722704923336,96.77550800998017,98.383788970727,99.99206993147382,101.60035089222063,103.20863185296744,104.81691281371425,106.42519377446106,108.03347473520789,109.64175569595471,111.25003665670154,0.7852664932180375,0.6790467091350583,0.6145749640967261,0.5707417417143358,0.5387846586818174,0.5143510087102641,0.49501171804529753,0.4792953439027082,0.46625437905744666,0.4238059479516252,0.3918703247981486,0.3260306420842388,0.27864089749056487,0.26870557445557075,0.25947814340321923,0.25084852918332584,0.22567852087880547,0.1644336761644811,0.15652453776329503,0.15029528456854038,0.14742970390743373,0.14405872379506673,0.14163753648451974,0.13940011751700768,0.13732638498008448,0.13539907492860245,0.1336032641673347,0.13192598684419304,0.13035592401032492,0.1288831504376645,0.12749892673716914,0.1261955275935254,0.12496609900122284,0.12380453894560767
BG,tot,53.01115589848401,55.15638648033345,57.25350796752129,59.35062945470913,62.26793848163558,64.38292596294082,66.49791344424608,68.61290092555133,70.72788840685656,73.77551131110668,76.54150637881311,80.52261208828939,84.38384757218562,88.49346762136514,92.98823374555242,95.27440359327863,99.41528295555945,102.52650789802861,104.85816861479924,107.09960853789623,109.22550912814896,112.28950538747648,114.32043012533505,116.35135486319363,118.3822796010522,120.41320433891079,122.44412907676934,124.47505381462793,126.5059785524865,128.53690329034504,130.5678280282036,132.59875276606218,134.62967750392073,136.66060224177932,0.7605262179637199,0.6490233908972991,0.5806140984946261,0.5335547850827662,0.49137830778761027,0.46462563033476867,0.4432999030656466,0.4258501481778971,0.41127134009942756,0.39017554869929194,0.37326069725810146,0.3479703018252435,0.3199723559634636,0.2925542234194612,0.268833417594257,0.26057839610759437,0.23693127679590958,0.1713709501062547,0.1637176805744994,0.15758637432377381,0.15413261300146172,0.14897651995195615,0.1463111642385076,0.14384847329057693,0.14156633109412925,0.1394457157888746,0.13747017762070304,0.13562541910909848,0.1338989548098247,0.13227983360285495,0.1307584104975432,0.1293261579521381,0.12797550895018112,0.12669972576982813
CH,residential,179.55798619930084,186.80261529050577,194.04724438171058,201.29187347291546,208.53650256412035,215.78113165532523,223.0257607465301,230.27038983773497,237.5150189289398,245.94341495995644,259.18703656090986,279.46964862540364,287.0964664040676,298.9270536926704,311.932901569906,330.45650806505006,347.6226878578678,357.8797090472143,366.06076893075965,381.43609382261985,390.1091211617768,397.3537502529816,404.59837934418647,411.8430084353914,419.0876375265963,426.33226661780117,433.57689570900607,440.82152480021097,448.06615389141575,455.3107829826207,462.5554120738255,469.80004116503045,477.04467025623535,484.2892993474402,0.8823289007178843,0.8122645222313332,0.7651856150421671,0.7305848381857379,0.7037446930933324,0.6821510130590687,0.66431172255542,0.649272880662404,0.6363902120089553,0.6198222008668531,0.5917135487467979,0.5595410872351495,0.5506226570920899,0.5322968149084921,0.5114108567251816,0.4725434626936668,0.4340925425409691,0.38768284543147447,0.37825254538392916,0.3556180718326676,0.3497073250547532,0.3461167818580786,0.34277185287578515,0.33964777132517454,0.3367230379565584,0.3339788929746487,0.3313988882104665,0.3289685378288336,0.32667503111022905,0.32450699470259137,0.32245429460158725,0.32050787026505423,0.3186595948932487,0.31690215714879866
CH,services,132.55260483967814,138.0646773274223,143.57674981516635,149.0888223029105,154.60089479065462,160.11296727839868,165.62503976614283,171.13711225388693,176.64918474163105,197.22694765869653,208.78945097324242,214.70832441909818,220.6271978649539,239.25452529548477,245.4048497597214,255.76197348286126,265.82222912492807,276.07125010943435,286.978264171616,298.1062026585985,306.9854743238649,315.5424140277816,321.05448651552575,326.56655900326984,332.07863149101394,337.59070397875803,343.1027764665022,348.6148489542463,354.12692144199036,359.6389939297345,365.1510664174786,370.66313890522275,376.1752113929669,381.68728388071094,0.8929303810790854,0.8321509224772607,0.790912158106023,0.760486499065806,0.7368386334147936,0.7177903357762899,0.7020404568036165,0.6887540412856514,0.6773658993851308,0.601307824130436,0.5703397115583029,0.5605876231388552,0.551660082462037,0.5082892094082259,0.4995306984364578,0.48279374799288394,0.46656205261164363,0.40153148729490495,0.3816324375244758,0.36364895503525707,0.35534451812241385,0.3506839810504302,0.3477774091560271,0.34506122372143894,0.34251696259919795,0.3401285119789753,0.3378817399401941,0.33576419723652573,0.33376487122869236,0.3318739821791322,0.33008281357041985,0.3283835699461459,0.3267692571641787,0.3252335810154159
