,,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,cost,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE,dE
,,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34
AL,residential,72.98061488788977,76.76145074316807,79.64719145673143,82.742165455448,86.54590927931176,89.73595588723516,93.02709369063282,95.9511776678772,99.20354036750693,103.11582686236112,106.44064578267825,109.39781183877999,113.72618580265085,122.64738249714554,127.05688828049402,130.17123431125572,134.1282070372685,137.72214890667982,140.85894058506616,145.7862154925031,148.61430990636845,151.94864704555508,154.72104594693604,157.4934448483171,160.2658437496981,163.03824265107906,165.81064155246005,168.58304045384105,171.355439355222,174.127838256603,176.90023715798398,179.672636059365,182.44503496074597,185.217433862127,0.716177143544098,0.5890348662619452,0.5174259864463999,0.4680081392363243,0.4247954457041758,0.3976220084126631,0.3733129848715621,0.3565214236921724,0.33882464995591094,0.31495772181614806,0.2996542753662105,0.2904840510934929,0.2754953564126917,0.23768649597230004,0.22295256292394675,0.2156567592632657,0.20370308981203541,0.15947803492319376,0.15324556591957636,0.14220382043288363,0.139253390881546,0.1357293788279888,0.1333610728841195,0.1311764350435293,0.12915501393211767,0.1272792763569036,0.1255341056245063,0.12390639983243185,0.1223847476437586,0.12095916465811009,0.11962087757103386,0.11836214631684543,0.11717611662329284,0.11605669708322015
AL,services,52.999423793138725,55.14159031462845,57.283756836118165,59.42592335760789,61.568089879097606,63.710256400587326,66.71891261294029,70.22739701087173,72.41521698604575,76.0492956730612,79.24664774421184,87.06856923846601,92.96155144535116,96.89638951757506,99.33084267967483,101.76529584177464,105.5192398511558,107.97647909824809,110.6412856628236,113.15169981300843,115.20698337879506,117.37828494060636,119.43356850639294,121.48885207217957,123.54413563796616,125.59941920375279,127.6547027695394,129.70998633532602,131.76526990111262,133.8205534668992,135.87583703268587,137.9311205984725,139.98640416425906,142.04168773004568,0.6920112803224275,0.5811993451583133,0.516937584063823,0.4743104330052246,0.4437120937930532,0.42055909847042905,0.3914549441662354,0.35961648486737485,0.34705473989413965,0.32579150311835026,0.3090197058560036,0.26623895493832683,0.2336818384088177,0.21772347970869524,0.20984225929905434,0.20250214184449822,0.18713394163690944,0.14744581662749692,0.13933908873083614,0.1333943748795601,0.13095420692460516,0.12846889153278576,0.12641429958334782,0.12451897100659293,0.12276515305029669,0.12113763040416492,0.11962328813931423,0.11821076190988562,0.11689015575066793,0.11565281271213236,0.11449112714540877,0.11339839007711376,0.11236866106686953,0.11139666140591771
AL,tot,67.32777630192008,70.64501951170695,73.32039714608484,76.14581429772821,79.47948462878108,82.37307758897285,85.58429909358176,88.6737146184827,91.62490967697028,95.45848896044696,98.74724649083075,103.08069072382845,107.85170485895323,115.36222086430423,119.212968482848,122.13496738955325,126.03450166967998,129.30686128637433,132.31012460548013,136.55365029693064,139.1631103480616,142.16841543117778,144.73793667524512,147.30745791931255,149.87697916337993,152.44650040744733,155.0160216515147,157.5855428955821,160.15506413964945,162.72458538371686,165.29410662778423,167.86362787185163,170.433149115919,173.00267035998644,0.7093404277830134,0.5868181347455029,0.5172878135106315,0.46979110849116085,0.4301471165693879,0.40411109442928506,0.3784454900880785,0.3573970412243883,0.3411530081477827,0.31802268509519566,0.30230383047010145,0.28362491970254833,0.26366597813055664,0.23203879919125628,0.2192435532931826,0.2119352129062013,0.19901554542607502,0.1560740242446415,0.1493113124271472,0.1397115579091591,0.13690548543980383,0.13367532896976747,0.1313957752211137,0.1292929852824895,0.12734727124148174,0.12554175565263856,0.12386188813774718,0.12229505836296661,0.12083028370213808,0.11945795530133463,0.11816963019519622,0.11695786002228742,0.11581604904069397,0.114738335762129
AT,residential,145.29906784973042,151.10242417566045,156.90578050159044,162.7091368275205,168.51249315345052,174.31584947938055,180.11920580531063,185.92256213124062,191.72591845717065,197.5292747831007,205.13063389779526,210.96862865226458,229.36948745434827,236.75519998873236,247.11456029933348,258.7975508123552,271.434180979761,277.81226890169404,284.9179911120625,300.2749727272023,307.23272897326035,313.5264728706753,319.3298291966054,325.1331855225354,330.9365418484654,336.7398981743955,342.54325450032553,348.3466108262555,354.1499671521856,359.95332347811564,365.75667980404563,371.5600361299757,377.36339245590574,383.16674878183574,0.8791530938690246,0.7701327743831939,0.701705823562259,0.654066915378523,0.6186916059233477,0.59123583933155,0.5692275689756124,0.5511454251006033,0.5359965529537289,0.5231027522747504,0.5065049496064884,0.4966763776024617,0.45562280504574443,0.440652108594399,0.4205424872720974,0.4058702565870666,0.38774349266499997,0.3535703140247569,0.34519713242859085,0.320730645612162,0.31391327133026997,0.3099194463976485,0.30651052340484025,0.303343938091229,0.30039450819196784,0.29764044978887855,0.29506281913836446,0.29264506160100756,0.2903726443323826,0.2882327550543685,0.28621405338247696,0.28430646426972517,0.28250100544041984,0.2807896424373882
AT,services,95.29146927603347,99.24745341765811,103.20343755928273,107.15942170090737,111.115405842532,115.07138998415664,119.02737412578128,122.9833582674059,136.68818831093526,145.54932865016303,149.79316685983363,154.0370050695043,158.28084327917486,167.7469714060823,172.08591987236494,182.39376626160953,186.83760199239498,191.2814377231804,195.72527345396585,213.68299155139513,220.83892835520314,224.79491249682775,230.1012229912302,234.0572071328548,238.01319127447948,241.9691754161041,245.92515955772876,249.88114369935337,253.83712784097798,257.7931119826026,261.74909612422726,265.7050802658519,269.66106440747654,273.6170485491012,0.9596493507131842,0.8815467545077742,0.8272020396128191,0.7869340176278433,0.7557827386962606,0.7309091182446578,0.7105581762042805,0.693581380661453,0.6223992551914814,0.5846019502325439,0.5721510815424181,0.5610221226017063,0.5509831899972462,0.5201516198489217,0.5110776009062816,0.480345820351205,0.471617586498668,0.43391368515849366,0.42594982687146205,0.3875128777778535,0.3808394644232133,0.3772715267455127,0.373964252644429,0.3708899995769704,0.36802491073139043,0.36534828677647424,0.3628420789898188,0.3604904772023105,0.3582795724507726,0.3561970789698882,0.35423210367096414,0.3523749538901241,0.3506169761813264,0.3489504204497398
AT,tot,131.97853219184577,137.28980355956372,142.60107492728164,147.9123462949996,153.22361766271754,158.5348890304355,163.84616039815347,169.1574317658714,177.06550548289968,183.68336444732807,190.39037993799207,195.80373884301252,210.43358877865896,218.37346209808027,227.12916390607984,238.44585695915637,248.90017056781176,254.76303128391223,261.15970617387654,277.2094465704252,284.2199922177243,289.891026505505,295.56198461773744,300.8732559854554,306.18452735317334,311.4957987208913,316.8070700886093,322.1183414563272,327.4296128240451,332.7408841917631,338.05215555948104,343.363426927199,348.67469829491694,353.9859696626349,0.9005949005184417,0.7998101421705952,0.7351342798071137,0.6894587562937313,0.6552086028311316,0.6284406431069971,0.6068738356797725,0.5890861236969788,0.5590116608357727,0.5394843079321537,0.5239911250317305,0.5138161686570639,0.48102397295473925,0.4618284118893802,0.4446583465385152,0.4257083298210625,0.41008505453859473,0.3749713964719456,0.36670724642079344,0.33851944431972736,0.33174041694349554,0.32786003569797795,0.3244781889440898,0.3213361981923517,0.3184092342391673,0.3156758020680399,0.3131171963423763,0.3107170607274865,0.3084610285623385,0.3063364278161493,0.30433203725071545,0.3024378836745311,0.3006450724023339,0.29894564472261387
BA,residential,78.30929933045637,81.43909755255578,84.56889577465516,87.69869399675454,90.82849221885395,93.95829044095333,97.08808866305274,100.21788688515213,103.34768510725152,106.4774833293509,109.6072815514503,116.42279027322515,121.67091574124183,129.26036889343266,134.8908374712692,138.24894686117918,144.9606490484423,148.37667111782875,151.7926931872152,155.57116058722772,163.28406568858452,166.41386391068392,173.68790301591832,176.81770123801772,179.9474994601171,183.07729768221648,186.2070959043159,189.3368941264153,192.46669234851467,195.5964905706141,198.7262887927135,201.85608701481289,204.98588523691225,208.11568345901165,0.8405936130859956,0.7588249518098076,0.7046476660273451,0.6649950507052577,0.6342614325055791,0.6095237039152539,0.5890669285866982,0.5718014952857078,0.5569939175882517,0.5441282621472421,0.5328288467701102,0.5047010781681354,0.48337186278621636,0.44592136069365135,0.4314373077413076,0.42295137709610237,0.3946872178425446,0.32304982464195103,0.3151569233902355,0.30704875959984446,0.2875593365227525,0.2835470862319983,0.2787721773897106,0.27528326238858014,0.2720172988204014,0.26895334101572,0.26607301580731046,0.2633601353308834,0.2608003783698986,0.25838102637505345,0.2560907434300791,0.25391939179304207,0.2518578764289489,0.24989801331556954
BA,services,63.01890395796301,68.1498968610802,70.66383141294799,73.17776596481579,75.69170051668358,78.20563506855137,80.71956962041918,83.23350417228697,85.74743872415476,88.26137327602257,90.77530782789036,97.23166138013153,99.82011089844606,102.40856041676061,104.99700993507513,107.58545945338965,113.8840664797175,116.53658613878926,120.2849359820894,122.8233394946982,125.05279075614847,127.28224201759873,129.511693279049,131.74114454049928,133.97059580194954,136.20004706339984,138.4294983248501,140.6589495863004,142.88840084775066,145.11785210920092,147.3473033706512,149.57675463210145,151.80620589355175,154.03565715500204,0.7152348758219472,0.5810100647748973,0.5236991360633668,0.48361736993019244,0.45354474870810935,0.4298780775965293,0.4105912545293314,0.3944469151190318,0.38064198359936186,0.3686302572890372,0.3580261484771692,0.31048889979337263,0.3008952655598656,0.292062300675976,0.28386621702953463,0.2762094024625816,0.24171738498969675,0.18944678725899072,0.1787702882277791,0.17258799239846442,0.16982147413681148,0.16727484173097673,0.1649228295016518,0.16274390938250372,0.16071962260032321,0.15883405018418686,0.15707338969901882,0.15542561408696404,0.15388019457494145,0.15242787400908459,0.15106048020398846,0.14977077128590527,0.1485523067985785,0.1473993396921989
BA,tot,69.01884064869417,73.36456665063399,76.1201655245479,78.87576439846184,81.63136327237578,84.38696214628969,87.14256102020363,89.89815989411755,92.65375876803148,95.4093576419454,98.16495651585933,104.76224221712965,108.39434606401574,112.94518468100283,116.72731960276768,119.61778292716575,126.0784881041613,129.03060538733044,132.6485501262838,135.6735535361241,140.05470690105113,142.63745345879605,146.84639622168822,149.4291427794331,152.011889337178,154.59463589492287,157.17738245266779,159.7601290104127,162.34287556815758,164.92562212590246,167.50836868364735,170.09111524139223,172.67386179913714,175.25660835688205,0.7644255258274638,0.6507844583656761,0.5947031681773971,0.5547898004168332,0.5244578046055572,0.5003708515517479,0.480624940323105,0.4640406847298262,0.4498423157977567,0.4374955085037383,0.42661856205290793,0.3866975750061672,0.3724989098232265,0.3524364503897334,0.34177297353143665,0.3337908145991097,0.30174260280452886,0.24187249283814177,0.23228827494437418,0.22535027034758365,0.21602170004388493,0.21289996056540123,0.20959720599542264,0.20690424512287353,0.20439272554357765,0.2020447558148596,0.1998447399506685,0.19777901819663757,0.19583557362845724,0.19400379084396377,0.1922742562127518,0.1906385915251348,0.18908931467066917,0.18761972233387128
