name,busmap
1282,AL1 0AC
1286,AL1 0AC
2194,AL1 0AC
2153,AL1 0AC
2154,AL1 0AC
2155,AL1 0AC
2185,AL1 0AC
2186,AL1 0AC
2190,AL1 0AC
2193,AL1 0AC
2195,AL1 0AC
2197,AL1 0AC
2198,AL1 0AC
2200,AL1 0AC
8311,AL1 0AC
7801,AL1 0AC
8793,AL1 0AC
8430,AL1 0AC
8714,AL1 0AC
3274,AT1 0AC
3387,AT1 0AC
3399,AT1 0AC
3401,AT1 0AC
3405,AT1 0AC
3408,AT1 0AC
3435,AT1 0AC
3456,AT1 0AC
3458,AT1 0AC
3461,AT1 0AC
3463,AT1 0AC
3464,AT1 0AC
3465,AT1 0AC
3466,AT1 0AC
3468,AT1 0AC
3471,AT1 0AC
3474,AT1 0AC
3476,AT1 0AC
3477,AT1 0AC
3478,AT1 0AC
3479,AT1 0AC
3480,AT1 0AC
3483,AT1 0AC
3786,AT1 0AC
3787,AT1 0AC
3791,AT1 0AC
3811,AT1 0AC
3813,AT1 0AC
8243,AT1 0AC
7758,AT1 0AC
8552,AT1 0AC
8148,AT1 0AC
8598,AT1 0AC
8763,AT1 0AC
8577,AT1 0AC
8809,AT1 0AC
8398,AT1 0AC
7757,AT1 0AC
8510,AT1 0AC
2087,BA1 0AC
2089,BA1 0AC
2090,BA1 0AC
2095,BA1 0AC
2096,BA1 0AC
2097,BA1 0AC
2098,BA1 0AC
2099,BA1 0AC
2100,BA1 0AC
2102,BA1 0AC
2104,BA1 0AC
2105,BA1 0AC
2108,BA1 0AC
2110,BA1 0AC
2111,BA1 0AC
2118,BA1 0AC
2122,BA1 0AC
2140,BA1 0AC
2272,BA1 0AC
7201,BA1 0AC
7200,BA1 0AC
8522,BA1 0AC
7421,BE1 0AC
7422,BE1 0AC
4686,BE1 0AC
4781,BE1 0AC
4783,BE1 0AC
4784,BE1 0AC
4785,BE1 0AC
4786,BE1 0AC
4788,BE1 0AC
4790,BE1 0AC
4801,BE1 0AC
4803,BE1 0AC
5065,BE1 0AC
5066,BE1 0AC
5069,BE1 0AC
5070,BE1 0AC
5073,BE1 0AC
5075,BE1 0AC
5081,BE1 0AC
5082,BE1 0AC
5084,BE1 0AC
5085,BE1 0AC
5096,BE1 0AC
5097,BE1 0AC
5098,BE1 0AC
5099,BE1 0AC
5100,BE1 0AC
5102,BE1 0AC
5107,BE1 0AC
5108,BE1 0AC
5153,BE1 0AC
5164,BE1 0AC
5165,BE1 0AC
5166,BE1 0AC
5168,BE1 0AC
5169,BE1 0AC
7467,BE1 0AC
8710,BE1 0AC
7953,BE1 0AC
7323,BE1 0AC
8149,BE1 0AC
7952,BE1 0AC
8295,BE1 0AC
1992,BG1 0AC
1994,BG1 0AC
2006,BG1 0AC
2008,BG1 0AC
2010,BG1 0AC
2012,BG1 0AC
2013,BG1 0AC
2014,BG1 0AC
2015,BG1 0AC
2016,BG1 0AC
2018,BG1 0AC
2020,BG1 0AC
2021,BG1 0AC
