name,busmap
virtual_way/246439630:0-220,BG2 0AC
virtual_way/246439630:1-220,BG2 0AC
virtual_way/246912877:0-220,BG2 0AC
virtual_way/246912877:1-220,BG2 0AC
virtual_way/247774984:0-220,BG2 0AC
virtual_way/261267120:0-400,BG2 0AC
virtual_way/261379798:0-400,BG2 0AC
virtual_way/261379799:0-400,BG2 0AC
virtual_way/261379806:1-400,BG2 0AC
virtual_way/262545229:a:1-220,BG2 0AC
virtual_way/335787753:1-400,BG2 0AC
virtual_way/37028934:0-400,BG2 0AC
virtual_way/37028934:1-400,BG2 0AC
virtual_way/37030096:1-220,BG2 0AC
virtual_way/450314208:0-400,BG2 0AC
virtual_way/450314211:1-400,BG2 0AC
virtual_way/450516951:1-220,BG2 0AC
virtual_way/455598114:b:1-400,BG2 0AC
virtual_way/459097437:0-220,BG2 0AC
virtual_way/459097437:1-220,BG2 0AC
virtual_way/459097439:1-220,BG2 0AC
virtual_way/459117273:0-220,BG2 0AC
virtual_way/484337873:0-400,BG2 0AC
virtual_way/484337873:1-400,BG2 0AC
virtual_way/94754373:1-400,BG2 0AC
way/1287693974-220,BG2 0AC
way/144024767-400,BG2 0AC
way/144787750-220,BG2 0AC
way/148478396-400,BG2 0AC
way/157471230-220,BG2 0AC
way/157660797-220,BG2 0AC
way/176656979-400,BG2 0AC
way/176754569-400,BG2 0AC
way/179323117-220,BG2 0AC
way/200516868-220,BG2 0AC
way/220458404-220,BG2 0AC
way/232685942-220,BG2 0AC
way/235026409-220,BG2 0AC
way/235044638-400,BG2 0AC
way/243752614-400,BG2 0AC
way/253597954-220,BG2 0AC
way/259759898-220,BG2 0AC
way/262539285-220,BG2 0AC
way/37028932-400,BG2 0AC
way/37031322-220,BG2 0AC
way/37376386-220,BG2 0AC
way/462198915-220,BG2 0AC
way/59467541-220,BG2 0AC
way/96974919-220,BG2 0AC
way/98755129-220,BG2 0AC
relation/5378910-220,CH2 0AC
relation/7933294-380,CH2 0AC
relation/9310861-220,CH2 0AC
virtual_relation/5610122:1-220,CH2 0AC
virtual_relation/5610123:0-220,CH2 0AC
virtual_relation/5645820:1-220,CH2 0AC
virtual_relation/6031725:0-220,CH2 0AC
virtual_way/104450944:1-220,CH2 0AC
virtual_way/109814042:0-220,CH2 0AC
virtual_way/109814042:1-220,CH2 0AC
virtual_way/1178282957:0-220,CH2 0AC
virtual_way/1200670020:1-380,CH2 0AC
virtual_way/126304086:1-220,CH2 0AC
virtual_way/136073350:b:1-220,CH2 0AC
virtual_way/141333193:0-220,CH2 0AC
virtual_way/141333193:1-220,CH2 0AC
virtual_way/141442913:1-220,CH2 0AC
virtual_way/141442914:0-220,CH2 0AC
virtual_way/148642941:1-220,CH2 0AC
virtual_way/163857038:a:1-380,CH2 0AC
virtual_way/190447888:0-220,CH2 0AC
virtual_way/194683262:1-220,CH2 0AC
virtual_way/207876772:0-220,CH2 0AC
virtual_way/207876772:1-220,CH2 0AC
virtual_way/207895374:1-380,CH2 0AC
virtual_way/208404332:b:1-220,CH2 0AC
virtual_way/208487760:1-380,CH2 0AC
virtual_way/208560300:1-220,CH2 0AC
virtual_way/208625022:1-380,CH2 0AC
virtual_way/209111683:1-220,CH2 0AC
virtual_way/209111686:1-220,CH2 0AC
virtual_way/209130227:1-220,CH2 0AC
virtual_way/209288137:1-220,CH2 0AC
virtual_way/209288139:0-220,CH2 0AC
virtual_way/209288141:1-220,CH2 0AC
virtual_way/209288142:1-220,CH2 0AC
virtual_way/209288145:0-220,CH2 0AC
virtual_way/240692413:0-220,CH2 0AC
virtual_way/253361584:1-220,CH2 0AC
virtual_way/365557144:1-220,CH2 0AC
virtual_way/406403398:1-380,CH2 0AC
virtual_way/43125412:0-220,CH2 0AC
virtual_way/43125412:1-220,CH2 0AC
virtual_way/461199931:1-220,CH2 0AC
virtual_way/81247299:b:1-220,CH2 0AC
virtual_way/912545951:1-220,CH2 0AC
virtual_way/927740824:0-220,CH2 0AC
virtual_way/93377768:1-220,CH2 0AC
virtual_way/95726659:1-220,CH2 0AC
virtual_way/969811243:1-220,CH2 0AC
way/108257952-220,CH2 0AC
way/109037817-220,CH2 0AC
way/111162936-220,CH2 0AC
way/11282314-220,CH2 0AC
way/122720993-220,CH2 0AC
way/127004407-380,CH2 0AC
way/132373704-220,CH2 0AC
way/1327084723-220,CH2 0AC
way/140873735-220,CH2 0AC
way/146225999-220,CH2 0AC
way/147557680-220,CH2 0AC
way/147714395-220,CH2 0AC
way/148015471-220,CH2 0AC
way/159527493-220,CH2 0AC
way/161853746-220,CH2 0AC
way/165513396-220,CH2 0AC
way/177392130-220,CH2 0AC
way/190819048-220,CH2 0AC
way/192677427-220,CH2 0AC
way/194258388-220,CH2 0AC
way/207991759-380,CH2 0AC
way/207993342-220,CH2 0AC
way/208780268-380,CH2 0AC
way/210568055-220,CH2 0AC
way/211907009-220,CH2 0AC
way/212722603-220,CH2 0AC
way/215475257-220,CH2 0AC
way/22899676-220,CH2 0AC
way/234983117-220,CH2 0AC
way/236819191-220,CH2 0AC
way/239937062-220,CH2 0AC
way/240575085-220,CH2 0AC
way/240959264-220,CH2 0AC
way/242269161-220,CH2 0AC
way/26843160-220,CH2 0AC
way/27107779-220,CH2 0AC
way/281799252-220,CH2 0AC
way/281800404-220,CH2 0AC
way/281804158-220,CH2 0AC
way/281809991-220,CH2 0AC
way/281815404-220,CH2 0AC
way/281822905-220,CH2 0AC
way/30350721-220,CH2 0AC
way/31308888-220,CH2 0AC
way/33271433-220,CH2 0AC
way/35002638-220,CH2 0AC
way/356292116-220,CH2 0AC
way/35840165-380,CH2 0AC
way/365556107-220,CH2 0AC
way/365590455-220,CH2 0AC
way/391576135-220,CH2 0AC
way/391577741-220,CH2 0AC
way/397960460-380,CH2 0AC
way/402053379-220,CH2 0AC
way/402055336-220,CH2 0AC
way/431234146-220,CH2 0AC
way/455120191-220,CH2 0AC
way/50319857-220,CH2 0AC
way/52738225-220,CH2 0AC
way/55695765-220,CH2 0AC
way/55698557-220,CH2 0AC
way/71500123-220,CH2 0AC
way/758943072-220,CH2 0AC
way/773893754-220,CH2 0AC
way/802058337-220,CH2 0AC
way/803903329-220,CH2 0AC
way/89405664-220,CH2 0AC
way/89977424-220,CH2 0AC
way/92798668-220,CH2 0AC
way/936521586-380,CH2 0AC
way/969819301-220,CH2 0AC
way/98648381-220,CH2 0AC
virtual_relation/10043727:a:1-400,CZ2 0AC
virtual_relation/5168027:a:1-400,CZ2 0AC
virtual_way/113566137:0-400,CZ2 0AC
virtual_way/157331464:1-380,CZ2 0AC
virtual_way/174150969:0-220,CZ2 0AC
virtual_way/28099167:1-400,CZ2 0AC
virtual_way/28629413:1-400,CZ2 0AC
virtual_way/452032530:1-400,CZ2 0AC
way/149306820-220,CZ2 0AC
way/174152948-400,CZ2 0AC
way/175071712-400,CZ2 0AC
way/197827799-220,CZ2 0AC
way/26143409-400,CZ2 0AC
way/27849030-220,CZ2 0AC
way/27867392-400,CZ2 0AC
way/28099187-220,CZ2 0AC
way/28268556-400,CZ2 0AC
way/28348269-220,CZ2 0AC
way/28349754-220,CZ2 0AC
way/28382372-400,CZ2 0AC
way/28457258-400,CZ2 0AC
way/28468576-220,CZ2 0AC
way/28469397-400,CZ2 0AC
way/28470958-400,CZ2 0AC
way/28475691-220,CZ2 0AC
way/28476742-400,CZ2 0AC
way/28477054-220,CZ2 0AC
way/28478409-400,CZ2 0AC
way/28478418-220,CZ2 0AC
way/28479110-400,CZ2 0AC
way/28479829-400,CZ2 0AC
way/28622657-220,CZ2 0AC
way/28622793-400,CZ2 0AC
way/28624004-220,CZ2 0AC
way/28624204-400,CZ2 0AC
way/28624926-400,CZ2 0AC
way/28625556-220,CZ2 0AC
way/28626812-400,CZ2 0AC
way/28628927-400,CZ2 0AC
relation/17591073-220,DE2 4AC
virtual_relation/1109593:b:1-380,DE2 0AC
virtual_relation/1141616:b:1-380,DE2 3AC
virtual_relation/13073144:1-220,DE2 3AC
virtual_relation/14514424:c:1-380,DE2 0AC
virtual_relation/145510:b:1-380,DE2 3AC
virtual_relation/1641702:b:1-380,DE2 4AC
virtual_relation/18799873:a:0-220,DE2 4AC
virtual_relation/18799873:b:1-220,DE2 4AC
virtual_relation/2247305:c:1-220,DE2 3AC
virtual_relation/3697399:a:1-380,DE2 4AC
virtual_relation/3697399:b:1-380,DE2 4AC
virtual_relation/3732388:b:1-380,DE2 2AC
virtual_relation/3916522:a:1-380,DE2 4AC
virtual_relation/3937928:0-220,DE2 1AC
virtual_relation/3945260:a:0-220,DE2 4AC
virtual_relation/445559:a:1-380,DE2 1AC
virtual_relation/5497488:a:1-380,DE2 1AC
virtual_relation/5497488:b:1-380,DE2 1AC
virtual_way/104359892:1-220,DE2 0AC
virtual_way/10630667:1-380,DE2 4AC
virtual_way/106498910:0-220,DE2 0AC
virtual_way/107153162:1-220,DE2 0AC
virtual_way/107175372:0-220,DE2 0AC
virtual_way/107175828:0-220,DE2 0AC
virtual_way/107175828:1-220,DE2 0AC
virtual_way/108374914:0-220,DE2 0AC
virtual_way/108388744:1-380,DE2 4AC
virtual_way/109083561:0-220,DE2 0AC
virtual_way/1104914089:0-380,DE2 4AC
virtual_way/1118659219:1-220,DE2 0AC
virtual_way/111963058:1-380,DE2 0AC
virtual_way/1120289993:0-380,DE2 4AC
virtual_way/1130668496:0-380,DE2 0AC
virtual_way/114377991:1-220,DE2 0AC
virtual_way/115611453:1-220,DE2 0AC
virtual_way/1241983643:1-380,DE2 2AC
virtual_way/1244951664:1-380,DE2 2AC
virtual_way/125686889:0-220,DE2 2AC
virtual_way/125690615:0-220,DE2 2AC
virtual_way/1264466167:0-220,DE2 3AC
virtual_way/1336578348:0-380,DE2 4AC
virtual_way/1340163908:0-380,DE2 2AC
virtual_way/1359558141:1-380,DE2 1AC
virtual_way/136269731:0-220,DE2 0AC
virtual_way/137885048:1-220,DE2 0AC
virtual_way/1434798779:1-380,DE2 3AC
virtual_way/143855350:0-380,DE2 4AC
virtual_way/143901743:1-220,DE2 4AC
virtual_way/145129280:1-220,DE2 4AC
virtual_way/1451337852:0-220,DE2 1AC
virtual_way/147534818:0-380,DE2 0AC
virtual_way/149815387:1-220,DE2 0AC
virtual_way/150801571:1-380,DE2 0AC
virtual_way/151689335:0-380,DE2 0AC
virtual_way/151691301:1-380,DE2 0AC
virtual_way/151967297:0-380,DE2 0AC
virtual_way/152403697:0-220,DE2 0AC
